bdc_level,model,test1,test2,test3,test4,accuracy
0,InstructLM-500M,0.05,0.00,0.00,0.00,14.55
1,InstructLM-500M,0.07,0.03,0.00,0.00,22.34
2,InstructLM-500M,0.10,0.22,0.00,0.00,26.09
3,InstructLM-500M,0.05,0.00,0.25,0.03,30.23
4,InstructLM-500M,0.07,0.07,0.25,0.20,32.09
0,InstructLM-1.3B,0.03,0.00,0.00,0.00,15.55
1,InstructLM-1.3B,0.22,0.02,0.00,0.00,24.34
2,InstructLM-1.3B,0.38,0.22,0.00,0.00,25.25
3,InstructLM-1.3B,0.15,0.15,0.37,0.12,29.18
4,InstructLM-1.3B,0.13,0.12,0.22,0.30,29.91
0,Qwen2.5-0.5B,0.07,0.00,0.00,0.00,16.32
1,Qwen2.5-0.5B,0.33,0.18,0.00,0.00,28.79
2,Qwen2.5-0.5B,0.28,0.25,0.00,0.00,29.18
3,Qwen2.5-0.5B,0.18,0.07,0.30,0.07,31.14
4,Qwen2.5-0.5B,0.20,0.08,0.20,0.32,32.45
0,Qwen2.5-1.5B,0.53,0.03,0.00,0.00,17.33
1,Qwen2.5-1.5B,0.63,0.10,0.00,0.00,28.98
2,Qwen2.5-1.5B,0.48,0.25,0.00,0.00,29.72
3,Qwen2.5-1.5B,0.43,0.12,0.32,0.03,30.40
4,Qwen2.5-1.5B,0.42,0.13,0.17,0.33,33.54
0,Qwen2.5-3B,0.57,0.10,0.00,0.00,21.65
1,Qwen2.5-3B,0.60,0.15,0.00,0.00,27.27
2,Qwen2.5-3B,0.58,0.28,0.00,0.00,30.21
3,Qwen2.5-3B,0.58,0.18,0.33,0.05,32.40
4,Qwen2.5-3B,0.55,0.22,0.22,0.35,37.85
0,Qwen2.5-7B,0.72,0.25,0.05,0.00,24.43
1,Qwen2.5-7B,0.73,0.30,0.03,0.00,26.48
2,Qwen2.5-7B,0.68,0.53,0.07,0.00,29.78
3,Qwen2.5-7B,0.70,0.23,0.38,0.10,32.23
4,Qwen2.5-7B,0.68,0.27,0.32,0.42,45.73
0,Qwen2.5-14B,0.88,0.23,0.10,0.00,26.83
1,Qwen2.5-14B,0.97,0.37,0.07,0.00,29.45
2,Qwen2.5-14B,0.93,0.52,0.15,0.00,31.25
3,Qwen2.5-14B,0.92,0.22,0.52,0.13,33.54
4,Qwen2.5-14B,0.87,0.23,0.27,0.63,48.85
0,Qwen2.5-32B,0.95,0.25,0.07,0.10,29.75
1,Qwen2.5-32B,1.00,0.37,0.07,0.00,31.42
2,Qwen2.5-32B,1.00,0.57,0.03,0.00,33.82
3,Qwen2.5-32B,0.97,0.28,0.63,0.17,32.78
4,Qwen2.5-32B,0.95,0.30,0.22,0.73,52.23
0,Qwen2.5-72B,1.00,0.22,0.07,0.00,29.15
1,Qwen2.5-72B,1.00,0.28,0.08,0.00,32.85
2,Qwen2.5-72B,1.00,0.40,0.03,0.00,33.54
3,Qwen2.5-72B,0.95,0.23,0.65,0.17,34.52
4,Qwen2.5-72B,0.97,0.25,0.27,0.72,51.28